id,message,urgency_level,urgency_score,service_type,timestamp
1,"Hi, I made some homemade cookies yesterday and they came out perfectly, the house smelled amazing",none,0,Community line,2025-09-13T22:20:30.475Z
2,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Medical advice,2025-09-17T05:33:47.119Z
3,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Fire Department,2025-09-22T21:14:06.838Z
4,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Local police,2025-09-25T20:23:54.165Z
5,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,Police,2025-09-29T14:16:44.285Z
6,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,Police,2025-10-03T23:53:26.241Z
7,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,EMS,2025-09-12T17:43:28.974Z
8,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Fire Department,2025-09-13T01:20:48.018Z
9,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,EMS,2025-09-11T10:14:12.544Z
10,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Police,2025-09-18T06:39:13.690Z
11,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Local police,2025-09-22T16:01:00.329Z
12,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Local police,2025-09-17T12:04:59.952Z
13,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,On-call doctor,2025-10-02T21:20:15.062Z
14,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Health hotline,2025-10-04T07:15:04.531Z
15,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Local police,2025-10-10T08:16:55.962Z
16,"I'd like to have information on how to take my medications, I have a prescription but I don't understand well when I should take them in relation to meals",low,1,Medical advice,2025-09-12T17:47:17.877Z
17,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,Fire Department,2025-10-10T03:20:25.478Z
18,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,EMS,2025-09-23T08:46:15.407Z
19,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Police,2025-09-26T16:17:58.350Z
20,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,EMS,2025-09-24T02:49:45.965Z
21,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-10-03T20:34:22.301Z
22,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Health hotline,2025-10-03T07:31:41.190Z
23,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Fire Department,2025-09-19T13:23:22.499Z
24,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Health hotline,2025-10-01T16:32:25.755Z
25,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Police,2025-10-08T08:32:21.489Z
26,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Medical advice,2025-10-10T05:12:42.819Z
27,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,General info,2025-10-03T06:20:26.754Z
28,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,N/A,2025-10-08T10:52:54.982Z
29,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Health hotline,2025-09-21T09:53:40.197Z
30,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Health hotline,2025-10-04T20:01:17.903Z
